Cau_hoi,A,B,C,D,Dap_an_dung,Giai_thich
"Khi bắt gói tin TCP trong Wireshark, cờ (flag) nào xuất hiện trong bước đầu tiên của quá trình bắt tay 3 bước (3-way handshake)?",ACK,SYN,FIN,RST,B,"Quá trình bắt đầu bằng việc client gửi gói tin có cờ SYN đến server."
"Với địa chỉ IP 192.168.1.0 và subnet mask /26, số lượng host tối đa khả dụng trong một subnet là bao nhiêu?",64,62,32,30,B,"/26 mượn 2 bit, còn 6 bit cho host. 2^6 - 2 = 62 host khả dụng."
Kỹ thuật VLSM (Variable Length Subnet Mask) mang lại lợi ích chính gì so với FLSM?,"Tăng tốc độ định tuyến của Router","Bảo mật mạng tốt hơn","Tối ưu hóa không gian địa chỉ IP bằng cách chia các mạng con có kích thước khác nhau",Tự động cấp phát IP,C,"VLSM cho phép cấp phát số lượng IP vừa đủ cho nhu cầu của từng mạng con, tránh lãng phí."
"Trong Wireshark, để chỉ lọc và hiển thị các gói tin HTTP, bạn gõ từ khóa nào vào thanh Filter?",http,tcp.port==80,ip.proto==http,Cả A và B đều đúng,D,"Bạn có thể lọc trực tiếp bằng giao thức 'http' hoặc cổng mặc định của nó là 'tcp.port==80'."
Giao thức UDP khác TCP ở điểm cơ bản nào?,UDP nhanh hơn và có cơ chế đảm bảo truyền tin tin cậy,TCP không cần thiết lập kết nối trước khi truyền,UDP không thiết lập kết nối (connectionless) và không đảm bảo độ tin cậy,UDP chỉ dùng cho mạng cục bộ (LAN),C,"UDP ưu tiên tốc độ, bỏ qua các bước kiểm tra lỗi và xác nhận (ACK) của TCP."
Địa chỉ Broadcast của mạng 192.168.10.0/24 là gì?,192.168.10.1,192.168.10.254,192.168.10.255,192.168.11.255,C,"Đối với /24 (255.255.255.0), địa chỉ broadcast là địa chỉ có octet cuối cùng toàn bit 1 (255)."
"Giao thức nào chịu trách nhiệm phân giải tên miền (ví dụ google.com) thành địa chỉ IP?",DHCP,ARP,DNS,FTP,C,"DNS (Domain Name System) hoạt động trên cổng 53, đóng vai trò như danh bạ của Internet."
Quá trình đóng gói dữ liệu tại tầng Transport của mô hình OSI tạo ra đơn vị dữ liệu gọi là gì?,Frame,Packet,Segment,Bit,C,"Dữ liệu từ tầng Application xuống tầng Transport được bọc thêm header (TCP/UDP) và gọi là Segment."
"Khi phân tích lưu lượng, nếu thấy quá nhiều gói tin ARP Request liên tục trên Wireshark, điều này có thể báo hiệu gì?","Lỗi vật lý của cáp mạng","Một cuộc tấn công ARP Spoofing hoặc có thiết bị đang quét mạng LAN",Lỗi của máy chủ DNS,Bình thường không có vấn đề gì,B,"Lượng ARP khổng lồ bất thường thường liên quan đến các kỹ thuật nghe lén hoặc quét mạng cục bộ."
Địa chỉ Default Gateway thường đóng vai trò gì đối với một máy tính trong mạng LAN?,"Máy chủ lưu trữ dữ liệu tập trung","Trạm phát sóng Wi-Fi","Cửa ngõ để máy tính gửi các gói tin ra bên ngoài mạng LAN của nó (Internet)","Cấp phát IP động",C,"Khi đích đến của gói tin không nằm trong cùng Subnet, máy tính sẽ đẩy gói tin lên Default Gateway (thường là Router)."
