Cau_hoi,A,B,C,D,Dap_an_dung,Giai_thich
"Trong các pattern GRASP, mẫu nào chịu trách nhiệm gán việc khởi tạo một đối tượng mới?",Controller,Creator,Information Expert,Polymorphism,B,"Creator khuyên gán trách nhiệm tạo đối tượng cho class chứa đựng hoặc sử dụng trực tiếp đối tượng đó."
Trong kiến trúc Domain-Driven Design (DDD), khái niệm Bounded Context dùng để làm gì?,Tối ưu hóa cơ sở dữ liệu,"Xác định ranh giới ngữ nghĩa của một model, tránh xung đột thuật ngữ",Quản lý giao diện người dùng,Gửi phản hồi HTTP,B,"Bounded Context đảm bảo Ubiquitous Language nhất quán trong một giới hạn cụ thể."
Sự khác biệt chính giữa mô hình 3-Tier và MVC là gì?,"3-Tier chia theo luồng điều khiển, MVC chia theo lớp vật lý","MVC không có tầng dữ liệu, 3-Tier không có giao diện","MVC chủ yếu tách biệt giao diện và logic điều khiển, còn 3-Tier tách biệt các lớp vật lý/logic",Cả hai là một,C,"3-Tier tập trung vào kiến trúc triển khai logic/vật lý (Presentation-Business-Data). MVC tập trung vào cấu trúc tương tác UI."
"Khi áp dụng Dependency Injection, nguyên tắc nào đang được thực thi?",Single Responsibility,Liskov Substitution,Inversion of Control (IoC),Interface Segregation,C,"DI là một hình thức triển khai của IoC nhằm đảo ngược quyền kiểm soát việc khởi tạo dependency."
"Khi quản lý bộ nhớ trong C++, các biến cục bộ được cấp phát ở đâu?",Heap,Stack,Data Segment,BSS Segment,B,"Các biến cục bộ được tự động cấp phát trên Stack và giải phóng khi ra khỏi phạm vi."
"Để tránh rò rỉ bộ nhớ (memory leak) trong C++ hiện đại, người ta thường khuyên dùng gì?",Con trỏ thô (Raw pointers),Mảng động,Smart pointers (unique_ptr/shared_ptr),Biến toàn cục,C,"Smart pointers tự động quản lý vòng đời của đối tượng được cấp phát động thông qua cơ chế đếm tham chiếu hoặc sở hữu độc quyền."
"Cơ chế Lazy Loading trong Entity Framework hoạt động dựa trên nguyên lý nào under-the-hood?","Load tất cả dữ liệu cùng lúc ngay khi gọi","Sử dụng proxy classes và virtual properties để truy vấn dữ liệu khi navigation property được truy cập lần đầu",Lưu cache trên RAM toàn bộ bảng,Tự động viết SQL Stored Procedure,B,"EF tạo ra các Dynamic Proxies đè lên các thuộc tính virtual để kích hoạt truy vấn ngầm."
Mẫu Controller trong GRASP dùng để xử lý việc gì?,"Giao tiếp trực tiếp với Database","Chỉ đạo việc hiển thị giao diện UI","Tiếp nhận các sự kiện hệ thống (system events) từ giao diện và điều phối luồng nghiệp vụ",Tính toán thuật toán phức tạp,C,"Controller là điểm chạm đầu tiên nhận tín hiệu từ UI và chuyển giao cho tầng Domain."
"High Cohesion (Độ gắn kết cao) nghĩa là gì?","Các class phụ thuộc vào nhau rất nhiều","Một class đảm nhận rất nhiều chức năng khác nhau","Một class chỉ tập trung vào những trách nhiệm có tính liên quan chặt chẽ với nhau",Tăng số lượng các class lên mức tối đa,C,"High Cohesion giúp code dễ đọc, dễ bảo trì và dễ tái sử dụng."
"Trong C++, khi cấp phát mảng bằng lệnh 'new[]', ta phải giải phóng bằng lệnh nào?",delete,free(),"delete[]",clear(),C,"Sử dụng delete thông thường trên một mảng sẽ dẫn đến undefined behavior."
