Cau_hoi,A,B,C,D,Dap_an_dung,Giai_thich
"Từ 「経営」 có cách đọc là gì?",けいえい,けいえ,きょうえい,きえい,A,"経営 (Kinh doanh) đọc là けいえい (keiei)."
"Điền vào chỗ trống: 彼は毎日遅くまで勉強しているから、試験に合格する（　　　）。",はずがない,に違いない,かもしれない,わけがない,B,"～に違いない (Chắc chắn là, không thể sai được) dùng để phán đoán với độ tin cậy rất cao."
"Từ 「確か」 trong câu 「確か、彼は明日来るはずです」 mang ý nghĩa gì?",Chắc chắn 100%,Nếu tôi nhớ không nhầm thì...,Có lẽ là không,Quyết định,B,"確か (tashika) khi đứng đầu câu thường mang nghĩa 'Theo trí nhớ của tôi thì / Nhớ không nhầm thì...'."
"Điền vào chỗ trống: 先生に教えてもらった（　　　）、テストで良い点が取れました。",せいで,おかげで,ために,かわりに,B,"～おかげで (Nhờ có...) dùng để chỉ nguyên nhân mang lại kết quả tốt."
"Chữ Hán 「条件」 mang ý nghĩa là gì?",Sự kiện,Tin tức,Điều kiện,Lý do,C,"条件 (Jouken) nghĩa là Điều kiện."
"Điền vào chỗ trống: 手を洗って（　　　）、ご飯を食べてはいけません。",てからでないと,てから,たあとで,るまえに,A,"～てからでないと (Nếu chưa làm V1 thì không thể/không được làm V2)."
"Từ 「期待」 có nghĩa là gì?",Kỳ hạn,Kỳ vọng (Mong đợi),Thất vọng,Chờ đợi,B,"期待 (Kitai) nghĩa là sự kỳ vọng, mong chờ một điều gì đó tốt đẹp."
"Điền vào chỗ trống: 日曜日に働く（　　　）、月曜日は休ませてください。",かわりに,おかげで,せいで,ために,A,"～かわりに (Đổi lại, thay vì). Ý câu: Đổi lại việc làm Chủ nhật, hãy cho tôi nghỉ thứ Hai."
"Từ 「輸出」 có cách đọc là gì?",ゆしゅつ,ゆしゅう,ゆすつ,ゆにゅう,A,"輸出 (Xuất khẩu) đọc là ゆしゅつ (yushutsu). Nhập khẩu là ゆにゅう (Yunyuu)."
"Cấu trúc 「～をはじめ」 mang ý nghĩa gì?","Bắt đầu từ...","Đại diện là... (đưa ra một ví dụ tiêu biểu)","Cuối cùng là...","Cho đến khi...",B,"～をはじめ (Trước tiên phải kể đến / Tiêu biểu là), dùng để nêu ra một ví dụ điển hình nhất trong số nhiều thứ."
